Sample (Time) - CH1	Volts - CH1	Volts - CH2	Volts - CH3	Volts - CH4	Volts - CH5	Volts - CH6	Volts - CH7	Volts - CH8
49	0.000168562	0.000133133	0.000665808	-0.00030036	-8.47E-05	9.06E-05	-0.000116062	1.91E-06
50	0.000156546	0.000125837	0.000657129	-0.000314045	-9.72E-05	7.93E-05	-0.000127077	-6.63E-06
51	0.000133419	0.000116634	0.000647593	-0.000340462	-0.000119066	5.57E-05	-0.000150156	-2.35E-05
52	0.000140476	0.000126505	0.000658894	-0.00033102	-0.000109959	6.26E-05	-0.000143051	-2.04E-05
53	0.000173855	0.000139523	0.000672626	-0.000293684	-7.82E-05	9.60E-05	-0.000110817	4.58E-06
54	0.000169086	0.00013423	0.000666332	-0.000298929	-8.52E-05	9.08E-05	-0.000116205	2.24E-06
55	0.000156164	0.000126648	0.000657415	-0.000314188	-9.63E-05	7.86E-05	-0.000126553	-5.05E-06
56	0.000133801	0.000116301	0.000647354	-0.000340414	-0.000119877	5.48E-05	-0.000149775	-2.24E-05
57	0.000140476	0.000126505	0.00065856	-0.00033102	-0.000110531	6.29E-05	-0.000144053	-2.02E-05
58	0.000172901	0.000138378	0.000671673	-0.000294256	-7.93E-05	9.65E-05	-0.000111532	4.24E-06
59	0.000168943	0.00013237	0.000666332	-0.000299644	-8.48E-05	9.12E-05	-0.000116253	1.72E-06
60	0.000156593	0.000125504	0.000657463	-0.000313902	-9.59E-05	7.83E-05	-0.000127983	-5.29E-06
61	0.000132751	0.000116539	0.000647879	-0.00034008	-0.000118351	5.42E-05	-0.000151062	-2.19E-05
62	0.000140047	0.000126076	0.000658941	-0.000329971	-0.000109768	6.30E-05	-0.000143671	-1.94E-05
63	0.000173044	0.000137377	0.000672722	-0.000294113	-7.93E-05	9.61E-05	-0.000111532	4.72E-06
64	0.000168943	0.000132608	0.000665855	-0.000300694	-8.57E-05	9.05E-05	-0.000116777	-2.38E-07
65	0.000157547	0.000125074	0.000656366	-0.000314283	-9.76E-05	7.79E-05	-0.000127506	-6.96E-06
66	0.000134516	0.000116491	0.000646782	-0.000339603	-0.0001194	5.52E-05	-0.000150299	-2.35E-05
67	0.00013957	0.000126076	0.000657701	-0.0003304	-0.000111675	6.26E-05	-0.000143957	-2.17E-05
68	0.000173235	0.000139046	0.000672007	-0.000293112	-7.75E-05	9.60E-05	-0.000111055	4.48E-06
69	0.000168228	0.000133657	0.000666237	-0.000299072	-8.35E-05	9.10E-05	-0.000115871	2.29E-06
70	0.000154972	0.000126314	0.000656414	-0.000313282	-9.72E-05	7.79E-05	-0.000128984	-6.77E-06
71	0.000131655	0.000117826	0.000645685	-0.000339174	-0.0001194	5.46E-05	-0.000150967	-2.37E-05
72	0.000137186	0.000126171	0.000658083	-0.000331259	-0.000111437	6.17E-05	-0.000144815	-2.17E-05
73	0.000173235	0.000138617	0.00067215	-0.000293636	-7.93E-05	9.52E-05	-0.000111437	5.05E-06
74	0.000168991	0.00013361	0.000666285	-0.000297832	-8.46E-05	9.10E-05	-0.000113869	2.34E-06
75	0.000156355	0.000126076	0.000657368	-0.000313568	-9.71E-05	7.82E-05	-0.00012641	-6.15E-06
76	0.000133419	0.000116968	0.000646877	-0.000338125	-0.00011878	5.50E-05	-0.000150013	-2.25E-05
77	0.000138712	0.000126123	0.000657892	-0.000330591	-0.000112152	6.12E-05	-0.000145292	-1.96E-05
78	0.000175524	0.000143862	0.000676298	-0.000289202	-7.48E-05	9.95E-05	-0.000107813	8.25E-06
79	0.000185442	0.000152683	0.000687075	-0.000280666	-6.32E-05	0.000111675	-9.48E-05	1.47E-05
80	0.000188875	0.000157785	0.000697613	-0.000279236	-5.74E-05	0.000117207	-8.76E-05	1.71E-05
81	0.000180912	0.000160551	0.000707817	-0.000288153	-6.02E-05	0.000112104	-9.13E-05	1.16E-05
82	0.000199842	0.000183153	0.00073905	-0.000265312	-3.26E-05	0.000139856	-6.56E-05	2.40E-05
83	0.000247335	0.000209379	0.000771809	-0.000213528	1.71E-05	0.000191832	-1.53E-05	5.95E-05
84	0.000257778	0.000215101	0.000782347	-0.000201321	2.74E-05	0.000202227	-3.05E-06	6.78E-05
85	0.000254297	0.00021615	0.000786686	-0.000205135	2.72E-05	0.000200462	-2.91E-06	6.68E-05
86	0.000239611	0.000217056	0.000787401	-0.000224304	1.50E-05	0.000186634	-1.62E-05	5.80E-05
87	0.00025034	0.00022788	0.0008039	-0.000209856	2.81E-05	0.000200319	-5.77E-06	6.22E-05
88	0.000285673	0.00024147	0.000819731	-0.000170422	6.32E-05	0.000236607	3.03E-05	8.82E-05
89	0.000279379	0.000235701	0.000809383	-0.00017848	5.34E-05	0.000228405	2.26E-05	8.35E-05
90	0.000258398	0.000221586	0.000792313	-0.000201845	3.26E-05	0.0002069	2.53E-06	6.93E-05
91	0.000226879	0.000200891	0.000768423	-0.00023489	-5.72E-07	0.00017314	-3.09E-05	4.63E-05
92	0.000218344	0.000200224	0.000765085	-0.000243568	-9.82E-06	0.000163364	-4.17E-05	3.84E-05
93	0.000239992	0.00020051	0.000761127	-0.000220966	7.68E-06	0.000181389	-2.44E-05	5.29E-05
94	0.000222826	0.000182343	0.000735331	-0.0002388	-1.59E-05	0.000158072	-4.71E-05	4.22E-05
95	0.000194359	0.000162506	0.000706434	-0.000271511	-4.80E-05	0.000126457	-7.84E-05	2.21E-05
96	0.000158501	0.000141382	0.000676203	-0.000314713	-8.77E-05	8.54E-05	-0.000119448	-5.44E-06
97	0.000146103	0.000134993	0.000667572	-0.000323629	-0.000101995	7.19E-05	-0.000134754	-1.65E-05
98	0.000171328	0.000139284	0.000672245	-0.000294304	-7.93E-05	9.54E-05	-0.000111675	2.48E-06
99	0.000170088	0.000134277	0.000666189	-0.000296879	-8.30E-05	9.16E-05	-0.000113726	2.53E-06
100	0.000157356	0.000125837	0.000657845	-0.000312614	-9.54E-05	7.82E-05	-0.000126553	-6.53E-06
101	0.000135279	0.000117445	0.000647879	-0.000337172	-0.000116444	5.49E-05	-0.000148487	-2.05E-05
102	0.00013752	0.000125504	0.000658894	-0.000333834	-0.000112534	5.81E-05	-0.000145626	-2.14E-05
103	0.000171137	0.000138187	0.000673151	-0.000295687	-7.97E-05	9.28E-05	-0.00011344	2.77E-06
104	0.000170135	0.000133657	0.000667143	-0.000297356	-8.25E-05	9.22E-05	-0.000114489	2.05E-06
105	0.000157881	0.000126076	0.000658703	-0.000312376	-9.61E-05	7.83E-05	-0.0001266	-5.63E-06
106	0.000135136	0.000116491	0.000647974	-0.000339079	-0.000118065	5.53E-05	-0.000148487	-2.35E-05
107	0.000137091	0.000123358	0.000657368	-0.000334263	-0.000113344	5.81E-05	-0.000146008	-2.32E-05
108	0.000171566	0.000137615	0.000672579	-0.000295115	-7.99E-05	9.42E-05	-0.000111055	3.53E-06
109	0.00017128	0.000134087	0.000667906	-0.000296783	-8.20E-05	9.24E-05	-0.000112152	4.01E-06
110	0.000158119	0.000126696	0.000659275	-0.000311708	-9.52E-05	7.91E-05	-0.000124788	-6.25E-06
111	0.000136328	0.000115824	0.000647402	-0.000337219	-0.00011549	5.74E-05	-0.000147295	-2.23E-05
112	0.000136328	0.000122595	0.000656843	-0.000333214	-0.000113058	5.94E-05	-0.000145578	-2.25E-05
113	0.000170135	0.000136614	0.000671148	-0.000295639	-8.02E-05	9.27E-05	-0.000112867	1.96E-06
114	0.00017004	0.00013299	0.000666046	-0.00029645	-8.23E-05	9.23E-05	-0.00011282	3.29E-06
115	0.000156403	0.000126123	0.000658083	-0.000312471	-9.54E-05	7.92E-05	-0.00012579	-4.58E-06
116	0.000133085	0.000116062	0.00064683	-0.00033803	-0.000118637	5.53E-05	-0.000149536	-2.26E-05
117	0.000119162	0.000114155	0.000641632	-0.000339794	-0.000130224	5.16E-05	-0.000163746	-2.56E-05
118	0.000112534	8.66E-05	0.000616503	-0.000329971	-0.000136232	4.82E-05	-0.000171757	-9.82E-06
119	6.26E-05	2.45E-05	0.000557327	-0.000361013	-0.000176525	-9.25E-06	-0.000217915	-1.51E-05
120	1.80E-05	-1.24E-05	0.000518656	-0.000358391	-0.000149298	-2.42E-05	-0.000260544	4.10E-06
121	4.36E-05	2.32E-05	0.000555277	-0.000280094	3.62E-06	7.35E-05	-0.000226068	6.02E-05
122	0.000185776	0.000146294	0.000705338	-0.000134563	0.000291872	0.000334597	-5.39E-05	0.000131178
123	0.000428772	0.000326729	0.00092907	5.33E-05	0.000611115	0.00069046	0.000247002	0.000214052
124	0.000677776	0.000513315	0.00117297	0.000179815	0.00088973	0.00104027	0.000548792	0.000260782
125	0.00092001	0.000692987	0.0014185	0.00021143	0.00108228	0.00134425	0.000854206	0.000253963
126	0.00108666	0.000824261	0.00159717	5.38E-05	0.00100169	0.0014133	0.00102811	0.000134373
127	0.00109987	0.000839901	0.00161881	-0.000248718	0.000627995	0.00121255	0.000979185	-7.65E-05
128	0.000988293	0.00074234	0.00148673	-0.000631714	0.000141668	0.00090723	0.000793409	-0.000307894
129	0.000768471	0.000574827	0.00126042	-0.00108743	-0.000390244	0.000515079	0.000512457	-0.000545692
130	0.000509644	0.000387859	0.00100689	-0.001401	-0.000793266	0.000145483	0.000172901	-0.000713539
131	0.000256729	0.000211287	0.000765514	-0.00142379	-0.00087738	-0.000140858	-8.57E-05	-0.000700426
132	0.000127029	0.000121641	0.000646877	-0.00119767	-0.000719404	-0.00022583	-0.00021143	-0.000534153
133	0.000102806	8.44E-05	0.000604868	-0.000872326	-0.000466967	-0.000157881	-0.000218201	-0.000324774
134	8.98E-05	5.66E-05	0.000585222	-0.000622845	-0.000289059	-7.06E-05	-0.00021348	-0.000169134
135	9.30E-05	6.96E-05	0.00059576	-0.000468206	-0.000195789	-6.72E-06	-0.000199509	-8.81E-05
136	0.000110292	9.98E-05	0.000621128	-0.000391388	-0.000153732	2.25E-05	-0.000182247	-4.70E-05
137	0.000131512	0.000120497	0.000649929	-0.000344419	-0.000122356	5.12E-05	-0.000155735	-2.80E-05
138	0.000169897	0.000136805	0.000671816	-0.000298071	-8.23E-05	9.20E-05	-0.000115204	8.11E-07
139	0.000172186	0.000133944	0.000667477	-0.000295353	-8.12E-05	9.31E-05	-0.000113678	3.72E-06
140	0.000157499	0.000127077	0.000658417	-0.000312328	-9.52E-05	7.89E-05	-0.00012598	-5.34E-06
141	0.000135851	0.000117016	0.000647879	-0.000336409	-0.000115299	5.77E-05	-0.000146818	-2.00E-05
142	0.000133085	0.000123549	0.00065608	-0.000336456	-0.000114536	5.68E-05	-0.000149012	-2.37E-05
143	0.000168753	0.000137043	0.000670958	-0.000296402	-8.02E-05	9.25E-05	-0.000115252	1.76E-06
144	0.000171852	0.000133371	0.000666904	-0.000294065	-8.00E-05	9.40E-05	-0.000112486	3.86E-06
145	0.000157022	0.000126982	0.000657749	-0.000311995	-9.48E-05	7.89E-05	-0.000126076	-4.67E-06
146	0.000137281	0.000118017	0.000646639	-0.000335121	-0.000114346	5.86E-05	-0.000145912	-2.04E-05
147	0.000135279	0.000123787	0.000655794	-0.000336885	-0.000113678	5.76E-05	-0.000148535	-2.36E-05
148	0.000168753	0.000137377	0.000671673	-0.000298357	-8.02E-05	9.18E-05	-0.000115108	2.57E-06
149	0.000172758	0.000133896	0.000667477	-0.000294733	-7.98E-05	9.47E-05	-0.000111294	5.53E-06
150	0.000158405	0.00012579	0.000659084	-0.000309896	-9.41E-05	8.03E-05	-0.000124931	-4.77E-06
151	0.000138092	0.00011735	0.000647831	-0.000334978	-0.000115204	5.88E-05	-0.000146437	-1.99E-05
152	0.00013485	0.000123358	0.000656891	-0.000336456	-0.000115681	5.65E-05	-0.000148773	-2.44E-05
153	0.000169611	0.000136232	0.000671291	-0.000297308	-8.25E-05	9.13E-05	-0.000115061	7.63E-07
154	0.000172234	0.000134182	0.000667953	-0.000294495	-8.03E-05	9.47E-05	-0.0001122	4.10E-06
155	0.000157022	0.000126076	0.000658655	-0.000310946	-9.40E-05	8.00E-05	-0.000125933	-6.34E-06
156	0.00013628	0.000115061	0.000647211	-0.000333977	-0.000113535	5.81E-05	-0.000144911	-1.91E-05
157	0.000133228	0.000121307	0.000655699	-0.000336838	-0.000116014	5.56E-05	-0.000149536	-2.45E-05
158	0.000167465	0.000137138	0.000671482	-0.000298357	-8.21E-05	9.10E-05	-0.000116348	5.72E-07
159	0.000171566	0.000135136	0.000666618	-0.000294971	-8.04E-05	9.39E-05	-0.000111675	4.82E-06
160	0.000158787	0.000127363	0.000658464	-0.00031147	-9.53E-05	7.96E-05	-0.000126266	-5.58E-06
161	0.000138187	0.000117397	0.000647497	-0.000334549	-0.000115347	5.86E-05	-0.000146723	-2.02E-05
162	0.000134087	0.000122452	0.00065546	-0.00033679	-0.000116396	5.62E-05	-0.000150251	-2.54E-05
163	0.000167799	0.000137186	0.000671339	-0.000298691	-8.33E-05	9.02E-05	-0.000116587	-1.19E-06
164	0.000172567	0.000134373	0.000668859	-0.000295258	-8.04E-05	9.48E-05	-0.000111437	3.81E-06
165	0.000157833	0.000127029	0.00065918	-0.000312138	-9.56E-05	7.96E-05	-0.000126219	-6.01E-06
166	0.000139046	0.000118303	0.000648785	-0.000333261	-0.00011096	6.16E-05	-0.000144577	-1.98E-05
167	0.000142384	0.000132513	0.000665474	-0.000322342	-9.16E-05	7.77E-05	-0.000137901	-1.98E-05
168	0.000190639	0.000162172	0.000697374	-0.00026741	-2.29E-05	0.000140858	-8.65E-05	1.47E-05
169	0.000210381	0.000175714	0.000712347	-0.000242519	1.62E-05	0.000176096	-6.10E-05	2.93E-05
170	0.000209284	0.000180292	0.000720882	-0.000238657	3.94E-05	0.000191641	-5.69E-05	2.88E-05
171	0.000204611	0.000186491	0.000730419	-0.000239182	5.93E-05	0.000204468	-5.54E-05	2.35E-05
172	0.000217152	0.000208187	0.000756645	-0.000219297	9.65E-05	0.000233984	-3.99E-05	2.88E-05
173	0.000266123	0.000237274	0.00079093	-0.000159216	0.000169373	0.000300741	1.44E-05	6.54E-05
174	0.000286007	0.000251675	0.000807953	-0.000132799	0.000212955	0.00033865	3.87E-05	7.96E-05
175	0.00028677	0.000257015	0.000817919	-0.000127077	0.00023427	0.000355625	4.57E-05	7.80E-05
176	0.000282907	0.000260496	0.000825119	-0.000129175	0.000252819	0.000365829	4.54E-05	7.42E-05
177	0.000290346	0.000279427	0.000849533	-0.000116253	0.000283766	0.000391436	5.84E-05	7.69E-05
178	0.000337934	0.000308037	0.000883293	-5.94E-05	0.000351477	0.000453186	0.000108624	0.000111151
179	0.000355387	0.000318766	0.000893831	-3.63E-05	0.000384283	0.00048275	0.000130463	0.000124502
180	0.000348759	0.000320959	0.000897598	-3.72E-05	0.000396872	0.000489902	0.000130558	0.000119638
181	0.000339937	0.00031991	0.000896883	-4.70E-05	0.000402927	0.000488615	0.000124836	0.000111294
182	0.000343704	0.000333929	0.000915384	-3.94E-05	0.000421047	0.000504065	0.000129223	0.000112534
183	0.000384998	0.000357294	0.000940514	7.39E-06	0.000469589	0.000555086	0.000171614	0.000142908
184	0.00039711	0.000357342	0.000941515	1.88E-05	0.000485849	0.000568533	0.000184345	0.00014987
185	0.000384808	0.000351238	0.000936413	4.53E-06	0.000480175	0.000559616	0.00017457	0.00013895
186	0.000364733	0.000341606	0.000925541	-1.48E-05	0.000463533	0.000541353	0.000156689	0.00012722
187	0.000358295	0.000346231	0.000933218	-1.95E-05	0.000459003	0.000536156	0.000150299	0.000119972
188	0.000391293	0.000359631	0.000947857	1.56E-05	0.000486517	0.000566912	0.000179577	0.000144768
189	0.000392962	0.000357676	0.000939894	1.75E-05	0.00047965	0.000563192	0.000180769	0.000150347
190	0.000370646	0.000344658	0.000924635	-8.63E-06	0.000449991	0.000535202	0.000157785	0.000135326
191	0.000343084	0.000324869	0.000902557	-4.09E-05	0.000413132	0.000498438	0.000129938	0.000116634
192	0.0003263	0.000320482	0.000898027	-5.89E-05	0.000385284	0.000473547	0.000112677	0.000102901
193	0.000352812	0.00032444	0.000903273	-3.40E-05	0.000393867	0.000490236	0.000133371	0.000122213
194	0.000349092	0.000313139	0.000886488	-4.48E-05	0.000371027	0.000472164	0.00012455	0.000121832
195	0.00032053	0.000291729	0.000861311	-8.08E-05	0.000322247	0.000430393	9.29E-05	0.000101328
196	0.000288963	0.000266695	0.000831985	-0.00012002	0.000269032	0.000381422	5.58E-05	7.91E-05
197	0.000267315	0.000257492	0.000821686	-0.000144815	0.000226498	0.000344133	2.99E-05	6.27E-05
198	0.000286436	0.000258493	0.000820589	-0.000128078	0.000223684	0.000347328	4.31E-05	7.83E-05
199	0.000279188	0.000242376	0.000797606	-0.000143337	0.000190544	0.000321102	2.91E-05	7.44E-05
200	0.000248241	0.000218916	0.00076952	-0.000182343	0.000136137	0.000272942	-5.29E-06	5.26E-05
201	0.000212717	0.000195408	0.000741291	-0.00022521	7.94E-05	0.000221777	-4.48E-05	2.82E-05
202	0.000188971	0.000180674	0.000725079	-0.000255203	3.38E-05	0.000181246	-7.35E-05	1.12E-05
203	0.000208759	0.000182343	0.000725317	-0.000238991	2.76E-05	0.000183487	-5.97E-05	2.68E-05
204	0.000203228	0.000167513	0.000703382	-0.000251913	-2.81E-06	0.000159836	-7.02E-05	2.36E-05
205	0.00017271	0.000145054	0.00067606	-0.00028758	-5.54E-05	0.000114679	-0.000105476	3.39E-06
206	0.000143576	0.000121164	0.000652122	-0.000324917	-0.000102997	7.18E-05	-0.000140095	-1.61E-05
207	0.000131798	0.000122023	0.000654173	-0.000338745	-0.000118065	5.40E-05	-0.000153208	-2.66E-05
208	0.00016489	0.000136805	0.000671244	-0.000300121	-8.46E-05	8.84E-05	-0.000118828	-1.24E-06
209	0.000173044	0.000135899	0.000668049	-0.000291157	-7.91E-05	9.64E-05	-0.000111198	4.82E-06
